Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200308,S08000020,NHS Grampian,1,7,1.195457262402869,0.853898044573478,0,0,0,6,146,24.933822901545557,14,4,28.57142857142857,12.76595744680851,14,0,,:,,:,4,0
20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,81,25.24465498971514,7,0,0,0,7,0,,:,,:,0,0
20200308,S08000024,NHS Lothian,2,7,0.7671316945939134,0.7671316945939134,0,0,0,22,391,42.849784655174304,31,2,6.451612903225806,3.942652329749104,31,0,,:,,:,2,0
20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,6,26.78571428571429,0,0,0,0,0,0,,:,,:,0,0
20200308,S08000026,NHS Shetland,0,2,8.745080891998251,,0,0,0,1,5,21.862702229995627,1,0,0,,1,0,,:,,:,0,0
20200308,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,4,15.09433962264151,1,0,0,,1,0,,:,,:,0,0
20200308,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,2,106,28.33239782963141,7,0,0,5.333333333333334,7,0,,:,,:,0,0
20200308,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,0,151,36.25015004201176,1,0,0,5.031446540880504,1,0,,:,,:,0,0
20200308,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,38,544,45.897877223178426,56,3,5.357142857142857,2.0484171322160147,56,0,,:,,:,3,0
20200308,S08000032,NHS Lanarkshire,0,3,0.45319958909903924,0.45319958909903924,0,0,0,9,218,32.932503474530186,24,4,16.666666666666664,4.30622009569378,24,0,,:,,:,4,0
20200308,S92000003,Scotland,3,30,0.5488474204171241,0.4756677643615075,0,0,0,116,2080,38.0534211489206,192,17,8.854166666666668,4.044321329639889,192,0,11,"",,:,17,0
20200309,S08000015,NHS Ayrshire and Arran,1,3,0.8152395445528412,0.5434930297018941,0,0,0,22,135,36.68577950487785,24,1,4.166666666666666,2.6548672566371683,24,0,,:,,:,1,0
20200309,S08000016,NHS Borders,1,1,0.8677542519958349,0.8677542519958349,0,0,0,12,62,53.80076362374175,15,1,6.666666666666667,3.0303030303030303,15,0,,:,,:,1,0
20200309,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,16,108,72.83026502124216,22,0,0,0,22,0,,:,,:,0,0
20200309,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,14,187,61.12509397574609,24,3,12.5,8.37696335078534,24,0,,:,,:,3,0
20200309,S08000020,NHS Grampian,0,7,1.195457262402869,0.853898044573478,0,0,0,10,156,26.64161899069251,18,1,5.555555555555555,13.829787234042554,18,0,,:,,:,1,0
20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,8,89,27.737954247958612,8,0,0,0,8,0,,:,,:,0,0
20200309,S08000024,NHS Lothian,3,10,1.0959024208484476,1.0959024208484476,0,0,0,102,493,54.027989347828466,136,8,5.88235294117647,5.205479452054795,136,0,,:,,:,8,0
20200309,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,7,31.25,1,0,0,0,1,0,,:,,:,0,0
20200309,S08000026,NHS Shetland,4,6,26.23524267599475,,0,0,0,4,9,39.35286401399213,16,6,37.5,,16,0,,:,,:,6,0
20200309,S08000028,NHS Western Isles,0,0,0,0,0,0,0,0,4,15.09433962264151,0,0,0,0,0,0,,:,,:,0,0
20200309,S08000029,NHS Fife,1,3,0.8018603159329645,0.8018603159329645,0,0,0,4,110,29.40154491754203,7,1,14.285714285714285,7.352941176470589,7,0,,:,,:,1,0
20200309,S08000030,NHS Tayside,3,4,0.9602688752850798,0.7202016564638098,0,0,0,10,161,38.65082223022446,22,6,27.27272727272727,6.790123456790123,22,0,,:,,:,6,0
20200309,S08000031,NHS Greater Glasgow and Clyde,3,6,0.5062265870203503,0.5062265870203503,0,0,0,63,607,51.213256386892105,119,9,7.563025210084033,3.4722222222222223,119,0,,:,,:,9,0
20200309,S08000032,NHS Lanarkshire,0,3,0.45319958909903924,0.45319958909903924,0,0,0,21,239,36.10490059822346,41,3,7.317073170731707,5.529953917050691,41,0,,:,,:,3,0
20200309,S92000003,Scotland,16,46,0.8415660446395901,0.7500914745700695,0,0,0,287,2367,43.30406147091109,453,39,8.609271523178808,5.416248746238716,453,0,18,"",,:,39,0
20200310,S08000015,NHS Ayrshire and Arran,1,4,1.0869860594037881,0.8152395445528412,0,0,0,18,153,41.577216772194895,25,1,4,3.361344537815126,25,0,,:,,:,1,0
20200310,S08000016,NHS Borders,0,1,0.8677542519958349,0.8677542519958349,0,0,0,8,70,60.74279763970844,12,0,0,2.3255813953488373,12,0,,:,,:,0,0
20200310,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,13,121,81.59687099602131,17,0,0,0,17,0,,:,,:,0,0
20200310,S08000019,NHS Forth Valley,5,8,2.614977282384859,1.9612329617886444,0,0,0,21,208,67.98940934200634,45,10,22.22222222222222,11.79245283018868,45,0,,:,,:,10,0
20200310,S08000020,NHS Grampian,1,8,1.3662368713175648,0.853898044573478,0,0,0,6,162,27.666296644180683,32,9,28.125,18.91891891891892,32,0,,:,,:,9,0
20200310,S08000022,NHS Highland,1,1,0.3116624072804338,0.3116624072804338,0,0,0,15,104,32.41289035716512,20,1,5,1.4705882352941175,20,0,,:,,:,1,0
20200310,S08000024,NHS Lothian,2,12,1.3150829050181372,1.3150829050181372,0,0,0,115,608,66.63086718758562,155,6,3.870967741935484,5.296610169491525,155,0,,:,,:,6,0
20200310,S08000025,NHS Orkney,0,0,0,0,0,0,0,1,8,35.714285714285715,1,0,0,0,1,0,,:,,:,0,0
20200310,S08000026,NHS Shetland,5,11,48.09794490599038,48.09794490599038,0,0,0,4,13,56.84302579798864,9,5,55.55555555555556,39.39393939393939,9,0,,:,,:,5,0
20200310,S08000028,NHS Western Isles,0,0,0,0,0,0,0,3,7,26.41509433962264,4,0,0,0,4,0,,:,,:,0,0
20200310,S08000029,NHS Fife,0,3,0.8018603159329645,0.8018603159329645,0,0,0,16,126,33.67813326918451,25,0,0,6.25,25,0,,:,,:,0,0
20200310,S08000030,NHS Tayside,0,4,0.9602688752850798,0.7202016564638098,0,0,0,15,176,42.25183051254351,35,2,5.714285714285714,6.875000000000001,35,0,,:,,:,2,0
20200310,S08000031,NHS Greater Glasgow and Clyde,5,11,0.9280820762039756,0.8437109783672505,0,0,0,91,698,58.891026290034084,147,8,5.442176870748299,3.9938556067588324,147,0,,:,,:,8,0
20200310,S08000032,NHS Lanarkshire,1,4,0.6042661187987189,0.6042661187987189,0,0,0,35,274,41.39222913771225,61,5,8.19672131147541,6.995884773662551,61,0,,:,,:,5,0
20200310,S92000003,Scotland,21,67,1.225759238931577,1.079399926820344,0,0,0,361,2728,49.908525429930485,588,47,7.993197278911565,6.492374727668845,588,0,29,"",,:,47,0
