Date,Country,SIMDQuintile,DailyPositive,CumulativePositive,CrudeRatePositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,CumulativeNegative,CrudeRateNegative
20200422,S92000003,4,68,1827,165.0943396226415,12,208,18.795633629726016,6212,561.3388274416251
20200422,S92000003,5,52,1759,161.0974039414371,7,169,15.477806291132957,6128,561.2307511956376
20200423,S92000003,1,74,2292,211.02776598751694,11,365,33.60607966206094,7291,671.2929501810585
20200423,S92000003,2,80,2197,202.1560862140039,15,317,29.16862964489724,6849,630.2080266179848
20200423,S92000003,3,45,1757,160.91556100183445,7,232,21.247814543213202,6460,591.641732539471
20200423,S92000003,4,49,1876,169.5221571604135,11,219,19.789633485144222,6417,579.8633702016916
20200423,S92000003,5,63,1822,166.86723705588312,5,174,15.935729554184228,6315,578.3570812337551
20200424,S92000003,1,76,2368,218.02519627331594,4,369,33.974365466576685,7571,697.0729564971601
20200424,S92000003,2,62,2259,207.86099169660207,14,331,30.45683410870973,7074,650.9113126435427
20200424,S92000003,3,61,1818,166.5022708601793,9,241,22.07208321083785,6670,610.8746681173795
20200424,S92000003,4,55,1931,174.49215643750452,6,225,20.331815224463238,6625,598.6590038314176
20200424,S92000003,5,52,1874,171.62963899161633,5,179,16.3936528172355,6482,593.6517182196676
20200425,S92000003,1,45,2413,222.16841157411798,14,383,35.26336578238176,7733,711.9885315800474
20200425,S92000003,2,52,2311,212.6457511336199,14,345,31.745038572522233,7235,665.7256639773865
20200425,S92000003,3,35,1853,169.70776012316406,7,248,22.7131810634348,6825,625.0704062820263
20200425,S92000003,4,27,1958,176.93197426444013,5,230,20.783633340562425,6779,612.5750018072725
20200425,S92000003,5,25,1899,173.91925530687269,7,186,17.03474538550728,6587,603.2681067437444
20200426,S92000003,1,34,2447,225.29884091250173,11,394,36.27615174480003,7894,726.8120352118058
20200426,S92000003,2,50,2361,217.24648136152172,13,358,32.94122843177669,7409,681.7362051704847
20200426,S92000003,3,32,1885,172.63849316360725,4,252,23.0795226934902,6959,637.3428508888823
20200426,S92000003,4,36,1994,180.18506470035425,8,238,21.506542326321117,6920,625.3162726812694
20200426,S92000003,5,18,1917,175.56777905385727,7,193,17.67583795377906,6717,615.1741115830773
20200427,S92000003,1,97,2544,234.22977167200835,10,404,37.19686625608938,8319,765.9424019416027
20200427,S92000003,2,92,2453,225.71182498086097,16,374,34.41346210470526,7862,723.4188210352747
20200427,S92000003,3,79,1964,179.8737403572014,9,261,23.903791361114852,7332,671.5042078915482
20200427,S92000003,4,87,2081,188.04669992048002,19,257,23.223451167498013,7322,661.6424492156438
20200427,S92000003,5,75,1992,182.43662799962632,6,199,18.22534586944058,7019,642.8326766713741
20200428,S92000003,1,94,2638,242.88448807812816,9,413,38.02550931624978,8781,808.4794123631704
20200428,S92000003,2,86,2539,233.625080972852,11,385,35.42562275484365,8367,769.8861963370827
20200428,S92000003,3,64,2028,185.7352064380878,7,268,24.5448892137118,7729,707.8636146745466
20200428,S92000003,4,66,2147,194.01069905298922,9,266,24.036723776476542,7694,695.257717053423
20200428,S92000003,5,67,2059,188.57279972451337,5,204,18.683269132491855,7317,670.1249031492299
