Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200305,S12000020,Moray,0,2,2.0896458050360462,2.0896458050360462,0,0,0,0,17,17.761989342806395,6,1,16.666666666666664,17.647058823529413,6,0,1,0
20200305,S12000021,North Ayrshire,0,1,0.74487895716946,0.74487895716946,0,0,0,4,38,28.30540037243948,5,0,0,5.263157894736842,5,0,0,0
20200305,S12000023,Orkney Islands,0,0,0,0,0,0,0,0,6,26.78571428571429,0,0,0,0,0,0,0,0
20200305,S12000026,Scottish Borders,0,0,0,0,0,0,0,1,38,32.97466157584172,1,0,0,0,1,0,0,0
20200305,S12000027,Shetland Islands,0,0,0,,0,0,0,1,2,8.745080891998251,2,0,0,,2,0,0,0
20200305,S12000028,South Ayrshire,0,0,0,0,0,0,0,4,20,17.834849295523455,5,0,0,0,5,0,0,0
20200305,S12000029,South Lanarkshire,0,0,0,0,0,0,0,10,84,26.182906302599587,13,0,0,0,13,0,0,0
20200305,S12000030,Stirling,0,0,0,0,0,0,0,3,40,42.517006802721085,4,0,0,0,4,0,0,0
20200305,S12000033,Aberdeen City,0,1,0.43656683838295646,0.43656683838295646,0,0,0,1,47,20.518641403998952,1,0,0,4.3478260869565215,1,0,0,0
20200305,S12000034,Aberdeenshire,0,2,0.7669299792928906,0.3834649896464453,0,0,0,4,50,19.173249482322262,8,1,12.5,6.451612903225806,8,0,1,0
20200305,S12000035,Argyll and Bute,0,0,0,0,0,0,0,2,12,14.046587849701508,2,0,0,0,2,0,0,0
20200305,S12000036,City of Edinburgh,0,1,0.18953034380804368,0.18953034380804368,0,0,0,15,208,39.42231151207309,23,1,4.3478260869565215,1.2987012987012987,23,0,1,0
20200305,S12000038,Renfrewshire,0,0,0,0,0,0,0,6,49,27.314789007191038,9,0,0,0,9,0,0,0
20200305,S12000039,West Dunbartonshire,0,1,1.1319900384876613,1.1319900384876613,0,0,0,7,39,44.14761150101879,10,0,0,5,10,0,0,0
20200305,S12000040,West Lothian,0,0,0,0,0,0,0,3,40,21.76041780002176,5,0,0,0,5,0,0,0
20200305,S12000041,Angus,0,1,0.8634087376964255,0.8634087376964255,0,0,0,7,46,39.71680193403557,14,2,14.285714285714285,20.930232558139537,14,0,2,0
20200305,S12000042,Dundee City,0,0,0,0,0,0,0,1,33,22.174438919500066,6,0,0,0,6,0,0,0
20200305,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,5,34,31.264367816091955,8,0,0,0,8,0,0,0
20200305,S12000047,Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,8,93,24.857669793921897,9,0,0,3.3333333333333335,9,0,0,0
20200305,S12000048,Perth and Kinross,0,0,0,0,0,0,0,4,44,28.96451846488052,9,0,0,0,9,0,0,0
