areaCode,areaName,areaType,date,newCasesBySpecimenDate
K02000001,United Kingdom,overview,2020-09-09,3329
K02000001,United Kingdom,overview,2020-09-08,3300
K02000001,United Kingdom,overview,2020-09-07,3861
K02000001,United Kingdom,overview,2020-09-06,2443
K02000001,United Kingdom,overview,2020-09-05,2543
K02000001,United Kingdom,overview,2020-09-04,3038
K02000001,United Kingdom,overview,2020-09-03,3095
K02000001,United Kingdom,overview,2020-09-02,2991
K02000001,United Kingdom,overview,2020-09-01,2248
K02000001,United Kingdom,overview,2020-08-31,1501
K02000001,United Kingdom,overview,2020-08-30,1160
K02000001,United Kingdom,overview,2020-08-29,1221
K02000001,United Kingdom,overview,2020-08-28,1624
K02000001,United Kingdom,overview,2020-08-27,1551
K02000001,United Kingdom,overview,2020-08-26,1347
K02000001,United Kingdom,overview,2020-08-25,1246
K02000001,United Kingdom,overview,2020-08-24,1273
K02000001,United Kingdom,overview,2020-08-23,823
K02000001,United Kingdom,overview,2020-08-22,824
K02000001,United Kingdom,overview,2020-08-21,1197
K02000001,United Kingdom,overview,2020-08-20,1460
K02000001,United Kingdom,overview,2020-08-19,1241
K02000001,United Kingdom,overview,2020-08-18,1082
K02000001,United Kingdom,overview,2020-08-17,1278
K02000001,United Kingdom,overview,2020-08-16,598
K02000001,United Kingdom,overview,2020-08-15,694
K02000001,United Kingdom,overview,2020-08-14,1162
K02000001,United Kingdom,overview,2020-08-13,1139
K02000001,United Kingdom,overview,2020-08-12,1206
K02000001,United Kingdom,overview,2020-08-11,1340
K02000001,United Kingdom,overview,2020-08-10,1470
K02000001,United Kingdom,overview,2020-08-09,614
K02000001,United Kingdom,overview,2020-08-08,695
K02000001,United Kingdom,overview,2020-08-07,943
K02000001,United Kingdom,overview,2020-08-06,1082
K02000001,United Kingdom,overview,2020-08-05,1057
K02000001,United Kingdom,overview,2020-08-04,1018
K02000001,United Kingdom,overview,2020-08-03,1038
K02000001,United Kingdom,overview,2020-08-02,554
K02000001,United Kingdom,overview,2020-08-01,542
K02000001,United Kingdom,overview,2020-07-31,677
K02000001,United Kingdom,overview,2020-07-30,925
K02000001,United Kingdom,overview,2020-07-29,1037
K02000001,United Kingdom,overview,2020-07-28,841
K02000001,United Kingdom,overview,2020-07-27,855
K02000001,United Kingdom,overview,2020-07-26,558
K02000001,United Kingdom,overview,2020-07-25,524
K02000001,United Kingdom,overview,2020-07-24,771
K02000001,United Kingdom,overview,2020-07-23,797
K02000001,United Kingdom,overview,2020-07-22,795
K02000001,United Kingdom,overview,2020-07-21,781
K02000001,United Kingdom,overview,2020-07-20,812
K02000001,United Kingdom,overview,2020-07-19,444
K02000001,United Kingdom,overview,2020-07-18,498
K02000001,United Kingdom,overview,2020-07-17,581
K02000001,United Kingdom,overview,2020-07-16,706
K02000001,United Kingdom,overview,2020-07-15,772
K02000001,United Kingdom,overview,2020-07-14,690
K02000001,United Kingdom,overview,2020-07-13,734
K02000001,United Kingdom,overview,2020-07-12,369
K02000001,United Kingdom,overview,2020-07-11,447
K02000001,United Kingdom,overview,2020-07-10,566
K02000001,United Kingdom,overview,2020-07-09,718
K02000001,United Kingdom,overview,2020-07-08,702
K02000001,United Kingdom,overview,2020-07-07,603
K02000001,United Kingdom,overview,2020-07-06,705
K02000001,United Kingdom,overview,2020-07-05,557
K02000001,United Kingdom,overview,2020-07-04,400
K02000001,United Kingdom,overview,2020-07-03,574
K02000001,United Kingdom,overview,2020-07-02,609
K02000001,United Kingdom,overview,2020-07-01,659
K02000001,United Kingdom,overview,2020-06-30,617
K02000001,United Kingdom,overview,2020-06-29,729
K02000001,United Kingdom,overview,2020-06-28,446
K02000001,United Kingdom,overview,2020-06-27,652
K02000001,United Kingdom,overview,2020-06-26,669
K02000001,United Kingdom,overview,2020-06-25,719
K02000001,United Kingdom,overview,2020-06-24,775
K02000001,United Kingdom,overview,2020-06-23,890
K02000001,United Kingdom,overview,2020-06-22,894
K02000001,United Kingdom,overview,2020-06-21,638
K02000001,United Kingdom,overview,2020-06-20,685
K02000001,United Kingdom,overview,2020-06-19,995
K02000001,United Kingdom,overview,2020-06-18,1025
K02000001,United Kingdom,overview,2020-06-17,1012
K02000001,United Kingdom,overview,2020-06-16,1103
K02000001,United Kingdom,overview,2020-06-15,1042
K02000001,United Kingdom,overview,2020-06-14,819
K02000001,United Kingdom,overview,2020-06-13,891
K02000001,United Kingdom,overview,2020-06-12,1058
K02000001,United Kingdom,overview,2020-06-11,1009
K02000001,United Kingdom,overview,2020-06-10,1191
K02000001,United Kingdom,overview,2020-06-09,1154
K02000001,United Kingdom,overview,2020-06-08,1094
K02000001,United Kingdom,overview,2020-06-07,722
K02000001,United Kingdom,overview,2020-06-06,808
K02000001,United Kingdom,overview,2020-06-05,1123
K02000001,United Kingdom,overview,2020-06-04,1251
K02000001,United Kingdom,overview,2020-06-03,1361
K02000001,United Kingdom,overview,2020-06-02,1487
K02000001,United Kingdom,overview,2020-06-01,1439
K02000001,United Kingdom,overview,2020-05-31,1082
K02000001,United Kingdom,overview,2020-05-30,1118
K02000001,United Kingdom,overview,2020-05-29,1527
K02000001,United Kingdom,overview,2020-05-28,1754
K02000001,United Kingdom,overview,2020-05-27,1826
K02000001,United Kingdom,overview,2020-05-26,2056
K02000001,United Kingdom,overview,2020-05-25,1617
K02000001,United Kingdom,overview,2020-05-24,1365
K02000001,United Kingdom,overview,2020-05-23,1527
K02000001,United Kingdom,overview,2020-05-22,2053
K02000001,United Kingdom,overview,2020-05-21,2566
K02000001,United Kingdom,overview,2020-05-20,2705
K02000001,United Kingdom,overview,2020-05-19,3052
K02000001,United Kingdom,overview,2020-05-18,2575
K02000001,United Kingdom,overview,2020-05-17,1834
K02000001,United Kingdom,overview,2020-05-16,2075
K02000001,United Kingdom,overview,2020-05-15,2523
K02000001,United Kingdom,overview,2020-05-14,2626
K02000001,United Kingdom,overview,2020-05-13,3307
K02000001,United Kingdom,overview,2020-05-12,3389
K02000001,United Kingdom,overview,2020-05-11,3577
K02000001,United Kingdom,overview,2020-05-10,2323
K02000001,United Kingdom,overview,2020-05-09,2164
K02000001,United Kingdom,overview,2020-05-08,3062
K02000001,United Kingdom,overview,2020-05-07,3774
K02000001,United Kingdom,overview,2020-05-06,3819
K02000001,United Kingdom,overview,2020-05-05,3670
K02000001,United Kingdom,overview,2020-05-04,3388
K02000001,United Kingdom,overview,2020-05-03,2985
K02000001,United Kingdom,overview,2020-05-02,3234
K02000001,United Kingdom,overview,2020-05-01,4732
K02000001,United Kingdom,overview,2020-04-30,4958
K02000001,United Kingdom,overview,2020-04-29,5427
K02000001,United Kingdom,overview,2020-04-28,4715
K02000001,United Kingdom,overview,2020-04-27,4703
K02000001,United Kingdom,overview,2020-04-26,3470
K02000001,United Kingdom,overview,2020-04-25,3742
K02000001,United Kingdom,overview,2020-04-24,4949
K02000001,United Kingdom,overview,2020-04-23,5141
K02000001,United Kingdom,overview,2020-04-22,5486
K02000001,United Kingdom,overview,2020-04-21,4766
K02000001,United Kingdom,overview,2020-04-20,4417
K02000001,United Kingdom,overview,2020-04-19,3849
K02000001,United Kingdom,overview,2020-04-18,4705
K02000001,United Kingdom,overview,2020-04-17,4937
K02000001,United Kingdom,overview,2020-04-16,5276
K02000001,United Kingdom,overview,2020-04-15,5036
K02000001,United Kingdom,overview,2020-04-14,4296
K02000001,United Kingdom,overview,2020-04-13,4170
K02000001,United Kingdom,overview,2020-04-12,3482
K02000001,United Kingdom,overview,2020-04-11,3556
K02000001,United Kingdom,overview,2020-04-10,4305
K02000001,United Kingdom,overview,2020-04-09,4854
K02000001,United Kingdom,overview,2020-04-08,5119
K02000001,United Kingdom,overview,2020-04-07,5428
K02000001,United Kingdom,overview,2020-04-06,5257
K02000001,United Kingdom,overview,2020-04-05,3584
K02000001,United Kingdom,overview,2020-04-04,4008
K02000001,United Kingdom,overview,2020-04-03,4897
K02000001,United Kingdom,overview,2020-04-02,4856
K02000001,United Kingdom,overview,2020-04-01,4936
K02000001,United Kingdom,overview,2020-03-31,4511
K02000001,United Kingdom,overview,2020-03-30,4260
K02000001,United Kingdom,overview,2020-03-29,2853
K02000001,United Kingdom,overview,2020-03-28,2817
K02000001,United Kingdom,overview,2020-03-27,3185
K02000001,United Kingdom,overview,2020-03-26,3084
K02000001,United Kingdom,overview,2020-03-25,2690
K02000001,United Kingdom,overview,2020-03-24,2371
K02000001,United Kingdom,overview,2020-03-23,2319
K02000001,United Kingdom,overview,2020-03-22,1374
K02000001,United Kingdom,overview,2020-03-21,1193
K02000001,United Kingdom,overview,2020-03-20,1260
K02000001,United Kingdom,overview,2020-03-19,1050
K02000001,United Kingdom,overview,2020-03-18,999
K02000001,United Kingdom,overview,2020-03-17,768
K02000001,United Kingdom,overview,2020-03-16,609
K02000001,United Kingdom,overview,2020-03-15,442
K02000001,United Kingdom,overview,2020-03-14,363
K02000001,United Kingdom,overview,2020-03-13,480
K02000001,United Kingdom,overview,2020-03-12,482
K02000001,United Kingdom,overview,2020-03-11,405
K02000001,United Kingdom,overview,2020-03-10,266
K02000001,United Kingdom,overview,2020-03-09,147
K02000001,United Kingdom,overview,2020-03-08,57
K02000001,United Kingdom,overview,2020-03-07,67
K02000001,United Kingdom,overview,2020-03-06,81
K02000001,United Kingdom,overview,2020-03-05,50
K02000001,United Kingdom,overview,2020-03-04,56
K02000001,United Kingdom,overview,2020-03-03,56
K02000001,United Kingdom,overview,2020-03-02,39
K02000001,United Kingdom,overview,2020-03-01,22
K02000001,United Kingdom,overview,2020-02-29,5
K02000001,United Kingdom,overview,2020-02-28,12
K02000001,United Kingdom,overview,2020-02-27,8
K02000001,United Kingdom,overview,2020-02-26,4
K02000001,United Kingdom,overview,2020-02-25,5
K02000001,United Kingdom,overview,2020-02-24,2
K02000001,United Kingdom,overview,2020-02-23,1
K02000001,United Kingdom,overview,2020-02-22,0
K02000001,United Kingdom,overview,2020-02-21,1
K02000001,United Kingdom,overview,2020-02-20,0
K02000001,United Kingdom,overview,2020-02-19,0
K02000001,United Kingdom,overview,2020-02-18,0
K02000001,United Kingdom,overview,2020-02-17,0
K02000001,United Kingdom,overview,2020-02-16,0
K02000001,United Kingdom,overview,2020-02-15,0
K02000001,United Kingdom,overview,2020-02-14,0
K02000001,United Kingdom,overview,2020-02-13,0
K02000001,United Kingdom,overview,2020-02-12,0
K02000001,United Kingdom,overview,2020-02-11,1
K02000001,United Kingdom,overview,2020-02-10,0
K02000001,United Kingdom,overview,2020-02-09,1
