areaCode,areaName,areaType,date,hospitalCases
K02000001,United Kingdom,overview,2020-06-01,7248
K02000001,United Kingdom,overview,2020-05-31,7238
K02000001,United Kingdom,overview,2020-05-30,7268
K02000001,United Kingdom,overview,2020-05-29,7586
K02000001,United Kingdom,overview,2020-05-28,7907
K02000001,United Kingdom,overview,2020-05-27,8220
K02000001,United Kingdom,overview,2020-05-26,8732
K02000001,United Kingdom,overview,2020-05-25,8836
K02000001,United Kingdom,overview,2020-05-24,8814
K02000001,United Kingdom,overview,2020-05-23,8814
K02000001,United Kingdom,overview,2020-05-22,9184
K02000001,United Kingdom,overview,2020-05-21,9293
K02000001,United Kingdom,overview,2020-05-20,9563
K02000001,United Kingdom,overview,2020-05-19,10013
K02000001,United Kingdom,overview,2020-05-18,10231
K02000001,United Kingdom,overview,2020-05-17,10199
K02000001,United Kingdom,overview,2020-05-16,10238
K02000001,United Kingdom,overview,2020-05-15,10691
K02000001,United Kingdom,overview,2020-05-14,10921
K02000001,United Kingdom,overview,2020-05-13,11342
K02000001,United Kingdom,overview,2020-05-12,11591
K02000001,United Kingdom,overview,2020-05-11,11967
K02000001,United Kingdom,overview,2020-05-10,11727
K02000001,United Kingdom,overview,2020-05-09,12015
K02000001,United Kingdom,overview,2020-05-08,12053
K02000001,United Kingdom,overview,2020-05-07,12626
K02000001,United Kingdom,overview,2020-05-06,13148
K02000001,United Kingdom,overview,2020-05-05,13723
K02000001,United Kingdom,overview,2020-05-04,14097
K02000001,United Kingdom,overview,2020-05-03,14188
K02000001,United Kingdom,overview,2020-05-02,14380
K02000001,United Kingdom,overview,2020-05-01,14723
K02000001,United Kingdom,overview,2020-04-30,15164
K02000001,United Kingdom,overview,2020-04-29,15521
K02000001,United Kingdom,overview,2020-04-28,15877
K02000001,United Kingdom,overview,2020-04-27,16662
K02000001,United Kingdom,overview,2020-04-26,16555
K02000001,United Kingdom,overview,2020-04-25,16604
K02000001,United Kingdom,overview,2020-04-24,17063
K02000001,United Kingdom,overview,2020-04-23,17867
K02000001,United Kingdom,overview,2020-04-22,18533
K02000001,United Kingdom,overview,2020-04-21,19139
K02000001,United Kingdom,overview,2020-04-20,19331
K02000001,United Kingdom,overview,2020-04-19,19574
K02000001,United Kingdom,overview,2020-04-18,19456
K02000001,United Kingdom,overview,2020-04-17,19330
K02000001,United Kingdom,overview,2020-04-16,20389
K02000001,United Kingdom,overview,2020-04-15,20582
K02000001,United Kingdom,overview,2020-04-14,21281
K02000001,United Kingdom,overview,2020-04-13,21308
K02000001,United Kingdom,overview,2020-04-12,21687
K02000001,United Kingdom,overview,2020-04-11,21254
K02000001,United Kingdom,overview,2020-04-10,21280
K02000001,United Kingdom,overview,2020-04-09,21005
K02000001,United Kingdom,overview,2020-04-08,20740
K02000001,United Kingdom,overview,2020-04-07,20234
K02000001,United Kingdom,overview,2020-04-06,19493
K02000001,United Kingdom,overview,2020-04-05,18855
K02000001,United Kingdom,overview,2020-04-04,17502
K02000001,United Kingdom,overview,2020-04-03,15546
K02000001,United Kingdom,overview,2020-04-02,13875
K02000001,United Kingdom,overview,2020-04-01,13637
K02000001,United Kingdom,overview,2020-03-31,12597
K02000001,United Kingdom,overview,2020-03-30,11093
K02000001,United Kingdom,overview,2020-03-29,9525
K02000001,United Kingdom,overview,2020-03-28,8278
K02000001,United Kingdom,overview,2020-03-27,7267
