areaCode,areaName,areaType,date,newTestsByPublishDate
K02000001,United Kingdom,overview,2020-04-15,18665
K02000001,United Kingdom,overview,2020-04-14,15994
K02000001,United Kingdom,overview,2020-04-13,14982
K02000001,United Kingdom,overview,2020-04-12,14506
K02000001,United Kingdom,overview,2020-04-11,18000
K02000001,United Kingdom,overview,2020-04-10,18091
K02000001,United Kingdom,overview,2020-04-09,19116
K02000001,United Kingdom,overview,2020-04-08,16443
K02000001,United Kingdom,overview,2020-04-07,14423
K02000001,United Kingdom,overview,2020-04-06,13775
K02000001,United Kingdom,overview,2020-04-05,13238
K02000001,United Kingdom,overview,2020-04-04,16080
K02000001,United Kingdom,overview,2020-04-03,14629
K02000001,United Kingdom,overview,2020-04-02,13623
K02000001,United Kingdom,overview,2020-04-01,11947
K02000001,United Kingdom,overview,2020-03-31,11896
