areaCode,areaName,areaType,date,newDailyNsoDeathsByDeathDate
K02000001,United Kingdom,overview,2020-06-16,120
K02000001,United Kingdom,overview,2020-06-15,107
K02000001,United Kingdom,overview,2020-06-14,136
K02000001,United Kingdom,overview,2020-06-13,101
K02000001,United Kingdom,overview,2020-06-12,135
K02000001,United Kingdom,overview,2020-06-11,121
K02000001,United Kingdom,overview,2020-06-10,166
K02000001,United Kingdom,overview,2020-06-09,137
K02000001,United Kingdom,overview,2020-06-08,161
K02000001,United Kingdom,overview,2020-06-07,163
K02000001,United Kingdom,overview,2020-06-06,151
K02000001,United Kingdom,overview,2020-06-05,184
K02000001,United Kingdom,overview,2020-06-04,183
K02000001,United Kingdom,overview,2020-06-03,203
K02000001,United Kingdom,overview,2020-06-02,233
K02000001,United Kingdom,overview,2020-06-01,199
K02000001,United Kingdom,overview,2020-05-31,195
K02000001,United Kingdom,overview,2020-05-30,219
K02000001,United Kingdom,overview,2020-05-29,254
K02000001,United Kingdom,overview,2020-05-28,288
K02000001,United Kingdom,overview,2020-05-27,282
K02000001,United Kingdom,overview,2020-05-26,300
K02000001,United Kingdom,overview,2020-05-25,279
K02000001,United Kingdom,overview,2020-05-24,281
K02000001,United Kingdom,overview,2020-05-23,284
K02000001,United Kingdom,overview,2020-05-22,300
K02000001,United Kingdom,overview,2020-05-21,342
K02000001,United Kingdom,overview,2020-05-20,353
K02000001,United Kingdom,overview,2020-05-19,372
K02000001,United Kingdom,overview,2020-05-18,407
K02000001,United Kingdom,overview,2020-05-17,377
K02000001,United Kingdom,overview,2020-05-16,419
K02000001,United Kingdom,overview,2020-05-15,421
K02000001,United Kingdom,overview,2020-05-14,465
K02000001,United Kingdom,overview,2020-05-13,454
K02000001,United Kingdom,overview,2020-05-12,441
K02000001,United Kingdom,overview,2020-05-11,428
K02000001,United Kingdom,overview,2020-05-10,494
K02000001,United Kingdom,overview,2020-05-09,539
K02000001,United Kingdom,overview,2020-05-08,569
K02000001,United Kingdom,overview,2020-05-07,631
K02000001,United Kingdom,overview,2020-05-06,627
K02000001,United Kingdom,overview,2020-05-05,642
K02000001,United Kingdom,overview,2020-05-04,676
K02000001,United Kingdom,overview,2020-05-03,662
K02000001,United Kingdom,overview,2020-05-02,705
K02000001,United Kingdom,overview,2020-05-01,786
K02000001,United Kingdom,overview,2020-04-30,780
K02000001,United Kingdom,overview,2020-04-29,817
K02000001,United Kingdom,overview,2020-04-28,801
K02000001,United Kingdom,overview,2020-04-27,866
