areaCode,areaName,areaType,date,capacityPillarFour
K02000001,United Kingdom,overview,2020-05-24,11050
K02000001,United Kingdom,overview,2020-05-23,11050
K02000001,United Kingdom,overview,2020-05-22,11050
K02000001,United Kingdom,overview,2020-05-21,11050
K02000001,United Kingdom,overview,2020-05-20,11100
K02000001,United Kingdom,overview,2020-05-19,11100
K02000001,United Kingdom,overview,2020-05-18,11100
K02000001,United Kingdom,overview,2020-05-17,11000
K02000001,United Kingdom,overview,2020-05-16,1000
K02000001,United Kingdom,overview,2020-05-15,1000
K02000001,United Kingdom,overview,2020-05-14,1000
K02000001,United Kingdom,overview,2020-05-13,1000
K02000001,United Kingdom,overview,2020-05-12,1000
K02000001,United Kingdom,overview,2020-05-11,1000
K02000001,United Kingdom,overview,2020-05-10,1000
K02000001,United Kingdom,overview,2020-05-09,1000
K02000001,United Kingdom,overview,2020-05-08,1000
K02000001,United Kingdom,overview,2020-05-07,1000
K02000001,United Kingdom,overview,2020-05-06,1000
K02000001,United Kingdom,overview,2020-05-05,1000
K02000001,United Kingdom,overview,2020-05-04,1000
K02000001,United Kingdom,overview,2020-05-03,1000
K02000001,United Kingdom,overview,2020-05-02,1000
K02000001,United Kingdom,overview,2020-05-01,1000
K02000001,United Kingdom,overview,2020-04-30,700
K02000001,United Kingdom,overview,2020-04-29,700
K02000001,United Kingdom,overview,2020-04-28,700
K02000001,United Kingdom,overview,2020-04-27,700
K02000001,United Kingdom,overview,2020-04-26,500
K02000001,United Kingdom,overview,2020-04-25,500
K02000001,United Kingdom,overview,2020-04-24,500
K02000001,United Kingdom,overview,2020-04-23,500
K02000001,United Kingdom,overview,2020-04-22,500
K02000001,United Kingdom,overview,2020-04-21,500
K02000001,United Kingdom,overview,2020-04-20,500
K02000001,United Kingdom,overview,2020-04-19,500
K02000001,United Kingdom,overview,2020-04-18,500
K02000001,United Kingdom,overview,2020-04-17,500
K02000001,United Kingdom,overview,2020-04-16,500
K02000001,United Kingdom,overview,2020-04-15,500
K02000001,United Kingdom,overview,2020-04-14,500
K02000001,United Kingdom,overview,2020-04-13,500
K02000001,United Kingdom,overview,2020-04-12,500
K02000001,United Kingdom,overview,2020-04-11,500
K02000001,United Kingdom,overview,2020-04-10,500
K02000001,United Kingdom,overview,2020-04-09,500
